#	Screen/Function	Feature	Actor	Screen/Function Description	Complexity	In Charge	Status	Update Details
1	Tantou Dashboard	Dashboard & Overview	Tantou Editor	The editor activity overview homepage (Welcome, LUANHUYNH999). Includes 6 statistical indicators (managed series, manuscripts requiring attention, deadline warnings, monthly approvals, critical delay alerts, and series at risk), quick access link, and recent notification log.	Medium	Huỳnh Ngọc Công Luân	Done	
2	Notifications	System Notification	Tantou Editor	Displays a list of all system notifications, filtered by tabs (All, Unread, From Author, From Council, System). Supports mark-as-read, delete action, and quick navigation to resolve tasks.	Simple	Huỳnh Ngọc Công Luân	Done	
3	Series Management	Series Management	Tantou Editor	Comprehensive management list of assigned manga series. Displays series title, genre, publication status (In Progress, Published), total views, and series creation date.	Medium	Huỳnh Ngọc Công Luân	Done	
4	Page Progress	Progress Tracking	Tantou Editor	Tracks detailed progress of chapter pages under managed series in an accordion view. Displays drawing progress percentage (%), expected release date, page count, and quick manuscript view button.	Medium	Huỳnh Ngọc Công Luân	Done	Renamed deadline column to expected release date and integrated virtual chapter display
5	Manuscript Review	Manuscript Review	Tantou Editor	Review interface for manuscripts submitted by Mangakas, separated into two tabs: 'Review New Series' (approval for production start) and 'Review Manuscript' (checking chapter drafts). Supports viewing drafts and creating page annotations with feedback comments.	Complex	Huỳnh Ngọc Công Luân	Done	
6	Approval Workflow	Approval Workflow	Tantou Editor	Visualizes series approval progress diagram through 5 main workflow steps and manages recommendations up to the Board Council.	Medium	Huỳnh Ngọc Công Luân	Done	
7	Ranking & Performance	Ranking & Performance	Tantou Editor	Shows ranking catalog (Views and Likes) for managed series and evaluates performance parameters.	Medium	Huỳnh Ngọc Công Luân	Done	
8	Risk Alerts	Progress & Risk Management	Tantou Editor	Displays delay alerts and warnings for story progress. Allows generating and sending deadline reminder alerts to the Mangaka.	Complex	Huỳnh Ngọc Công Luân	Done	Synchronized deadline reminder flow, automated approval, and cleaned up warnings after resolution
9	Series Defense	Plan Recovery & Adjustments	Tantou Editor	Review and approve recovery proposals (plan adjustments, deadline extensions) submitted by Mangakas when schedule delay risks occur. Includes submission history log.	Medium	Huỳnh Ngọc Công Luân	Done	
10	Profile Page	Profile Management	Tantou Editor	Personal profile page for the editor, displaying avatar, nickname, contact email, key performance cards (ratings, followers, active series, completed works), biography, and recent activity log.	Simple	Huỳnh Ngọc Công Luân	Done	
11	Tantou Settings	Account Settings	Tantou Editor	Configure account information, edit contact email, system language configurations, dark/light theme options, and profile privacy preferences.	Simple	Huỳnh Ngọc Công Luân	Done	
